model,mean_f1,std_f1,mean_recall,std_recall,mean_auprc,std_auprc,mean_training_time
Logistic Regression,0.7061375213652848,0.0532231379112175,0.6054765291607397,0.0787433769651432,0.7584338480862268,0.0501301263863876,0.2428964376449585
KNN,0.8562882229932882,0.0496530171765708,0.7906827880512092,0.069269608512539,0.793939912856108,0.0577664355585964,0.0935453653335571
Linear SVM,0.1369322557872788,0.0070683048537043,0.9044807965860596,0.0437131136628039,0.7398291163655952,0.0532126042484068,0.9757890462875366
Non-Linear SVM (RBF),0.7280108038136559,0.0893741357890229,0.6689900426742531,0.1078331834048472,0.7196675948771688,0.1158195168621606,17.261351132392882
Random Forest,0.8389735821501316,0.0381584416224421,0.7564722617354196,0.0543733550543939,0.8406187328795441,0.0405643666298998,121.84329648017884
Gradient Boosting,0.5893830579239004,0.0598121657457395,0.8569701280227596,0.0383612948574398,0.7461329190008186,0.0375515228570454,3.314737939834594
ANN,0.8030717148348728,0.042498556775706915,0.8225462304409673,0.041857100464126704,0.6480914783341942,0.06775396456422753,29.550377678871154
